E.tau.hat,E.SE.hat,ES,power,nC,nT,sd,tau,mu,R
1.0179722053956541,0.613785283086985,0.5,0.412,10,500,2,1,5,500
0.011630339136592342,0.5920896035398221,0,0.258,50,2,1,0,5,500
0.4479034649989318,0.6090970246633293,0.5,0.304,50,2,1,0.5,5,500
1.0150963608735712,0.6099186977463792,1,0.462,50,2,1,1,5,500
0.016315400719726002,1.1257445178632182,0,0.262,50,2,2,0,5,500
0.5343185449866816,1.2048445660451441,0.25,0.274,50,2,2,0.5,5,500
1.0130312099469885,1.1715701551913875,0.5,0.334,50,2,2,1,5,500
-0.020685142173637004,0.48296962733537907,0,0.134,50,4,1,0,5,500
0.50751664370560845,0.4926958794723798,0.5,0.236,50,4,1,0.5,5,500
1.0503542263975907,0.4840655166854319,1,0.548,50,4,1,1,5,500
-0.047354418412990464,0.9992151029040253,0,0.114,50,4,2,0,5,500
0.5205502666186699,0.9835136243837056,0.25,0.16,50,4,2,0.5,5,500
0.9828595612295409,0.9666428108954866,0.5,0.274,50,4,2,1,5,500
0.016782648242896447,0.39034023460057604,0,0.086,50,7,1,0,5,500
0.5005930945333449,0.39521862817748343,0.5,0.26,50,7,1,0.5,5,500
1.0040978405686203,0.3888925552697883,1,0.704,50,7,1,1,5,500
0.05480633892655711,0.7758871065188852,0,0.08,50,7,2,0,5,500
0.5530023853934336,0.765047440102268,0.25,0.15,50,7,2,0.5,5,500
0.9670309852444083,0.7791175076402348,0.5,0.284,50,7,2,1,5,500
-0.026186946504715723,0.33768987559279345,0,0.058,50,10,1,0,5,500
0.5125627977081892,0.33622429944834475,0.5,0.332,50,10,1,0.5,5,500
1.02323373184267,0.33861039864294257,1,0.822,50,10,1,1,5,500
-0.008128628690389553,0.679218833146311,0,0.076,50,10,2,0,5,500
0.4908014580360856,0.6850441455301015,0.25,0.124,50,10,2,0.5,5,500
0.9395654236917912,0.6779352211174219,0.5,0.292,50,10,2,1,5,500
0.0037617206889878486,0.20050439149693508,0,0.052,50,50,1,0,5,500
0.5119995108221043,0.20010204284984515,0.5,0.722,50,50,1,0.5,5,500
0.9955538243927542,0.20011547133539326,1,0.998,50,50,1,1,5,500
0.010140937196764298,0.39807970528886133,0,0.056,50,50,2,0,5,500
0.5257044494180539,0.39903706965863117,0.25,0.26,50,50,2,0.5,5,500
0.9862129739008125,0.3957333257103264,0.5,0.704,50,50,2,1,5,500
0.0022347185890063985,0.14779479382860894,0,0.068,50,500,1,0,5,500
0.503164984347737,0.1472370600843181,0.5,0.908,50,500,1,0.5,5,500
1.0004746080514202,0.14743062306633875,1,1,50,500,1,1,5,500
-0.014683291854765688,0.2928046209189351,0,0.062,50,500,2,0,5,500
0.48959346977627033,0.2953903383901945,0.25,0.386,50,500,2,0.5,5,500
1.0000566985150152,0.2965869339508674,0.5,0.916,50,500,2,1,5,500
-0.038663742726070545,0.5526601889272503,0,0.316,500,2,1,0,5,500
0.5365697937763082,0.5587041538186918,0.5,0.37,500,2,1,0.5,5,500
0.9497744797077263,0.6155543471707745,1,0.442,500,2,1,1,5,500
-0.10757432817815231,1.11658161345714,0,0.302,500,2,2,0,5,500
0.4620459579407873,1.1424656403715796,0.25,0.312,500,2,2,0.5,5,500
0.9312847463333096,1.1632348730067255,0.5,0.328,500,2,2,1,5,500
0.008215190383064166,0.4644257298593178,0,0.138,500,4,1,0,5,500
0.4789572627137901,0.45482401424653296,0.5,0.278,500,4,1,0.5,5,500
1.024624428909556,0.4637007426639965,1,0.584,500,4,1,1,5,500
